84
Anthony Hopkins
Joan Allen
Ed Harris
E G  Marshall
David Hyde Pierce
Paul Sorvino
Mary Steenburgen
J T  Walsh
James Woods
Kevin Dunn
Annabeth Gish
Madeline Kahn
Dan Hedaya
Tom Bower
Tony Goldwyn
Edward Herrmann
Saul Rubinek
John Diehl
John C  McGinley
Sam Waterston
Marley Shelton
Humphrey Bogart
Claude Rains
Sydney Greenstreet
Peter Lorre
John Qualen
Curt Bois
Oliver Blake
Monte Blue
Al Pacino
Gordon Mitchell
Gino Corrado
Marcel Dalio
Gregory Gaye
Creighton Hale
Olaf Hytten
George Meeker
Torben Meyer
Paul Panzer
Dewey Robinson
Ludwig St ssel
Norma Varden
Leo White
Michael Mark
Jack Mulhall
Philip Ahn
Richard Loo
Walter Kingsford
Keye Luke
Dick Wessel
David Niven
Finlay Currie
Robert Morley
Gilbert Roland
Frank Sinatra
John Carradine
Trevor Howard
Cedric Hardwicke
Charles Coburn
Red Skelton
Andy Devine
Victor McLaglen
John Mills
Jack Oakie
Robert De Niro
Val Kilmer
Jon Voight
Tom Sizemore
Diane Venora
Ashley Judd
Natalie Portman
Ted Levine
Tom Noonan
Hank Azaria
Wes Studi
Danny Trejo
Henry Rollins
William Fichtner
Kevin Gage
Jeremy Piven
Xander Berkeley
Thomas Rosales  Jr
Bud Cort
Philip Ettington
